TI=0.05 | U_mean=14.00 | Ct_used=0.32 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_14_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
1.18 15.13 1.16 0.45 -1.36 0.87
1.19 15.21 1.15 0.46 -1.36 0.87
1.20 15.28 1.14 0.47 -1.37 0.87
1.21 15.34 1.12 0.48 -1.36 0.86
1.22 15.38 1.11 0.49 -1.36 0.86
1.23 15.41 1.10 0.50 -1.35 0.85
1.24 15.42 1.08 0.51 -1.33 0.85
1.25 15.40 1.07 0.51 -1.32 0.84
1.26 15.36 1.06 0.52 -1.30 0.83
1.27 15.30 1.04 0.53 -1.28 0.83
1.28 15.23 1.03 0.54 -1.25 0.82
1.29 15.14 1.02 0.55 -1.23 0.81
1.30 15.06 1.01 0.56 -1.20 0.80
1.31 14.97 1.00 0.56 -1.17 0.79
1.32 14.90 0.98 0.57 -1.14 0.78
1.33 14.83 0.97 0.58 -1.11 0.77
1.34 14.78 0.96 0.59 -1.07 0.76
1.35 14.74 0.95 0.59 -1.04 0.75
1.36 14.71 0.94 0.60 -1.00 0.74
1.37 14.69 0.93 0.61 -0.96 0.73
1.38 14.68 0.92 0.62 -0.91 0.71
1.39 14.67 0.91 0.62 -0.87 0.70
1.40 14.66 0.90 0.63 -0.82 0.69
1.41 14.64 0.90 0.64 -0.77 0.67
1.42 14.62 0.89 0.64 -0.72 0.66
1.43 14.58 0.88 0.65 -0.67 0.65
1.44 14.53 0.88 0.66 -0.62 0.63
1.45 14.47 0.87 0.66 -0.56 0.61
1.46 14.41 0.86 0.67 -0.51 0.60
1.47 14.35 0.86 0.67 -0.45 0.58
1.48 14.28 0.86 0.68 -0.39 0.57
1.49 14.22 0.85 0.69 -0.34 0.55
1.50 14.16 0.85 0.69 -0.28 0.53
1.51 14.11 0.85 0.70 -0.22 0.52
1.52 14.08 0.84 0.70 -0.16 0.50
1.53 14.05 0.84 0.71 -0.10 0.48
1.54 14.03 0.84 0.71 -0.04 0.46
1.55 14.02 0.84 0.72 0.02 0.45
1.56 14.01 0.84 0.72 0.08 0.43
1.57 14.01 0.84 0.72 0.14 0.41
1.58 14.00 0.85 0.73 0.21 0.39
1.59 13.99 0.85 0.73 0.27 0.37
1.60 13.97 0.85 0.74 0.33 0.35
1.61 13.96 0.85 0.74 0.39 0.33
1.62 13.93 0.86 0.74 0.45 0.31
1.63 13.91 0.86 0.75 0.51 0.30
1.64 13.88 0.87 0.75 0.57 0.28
1.65 13.86 0.88 0.75 0.63 0.26
1.66 13.84 0.88 0.75 0.69 0.24
1.67 13.83 0.89 0.76 0.75 0.22
1.68 13.82 0.90 0.76 0.81 0.20
1.69 13.82 0.91 0.76 0.86 0.18
1.70 13.83 0.91 0.76 0.92 0.16
1.71 13.85 0.92 0.76 0.97 0.14
1.72 13.87 0.93 0.76 1.03 0.12
1.73 13.90 0.94 0.77 1.08 0.11
1.74 13.93 0.96 0.77 1.13 0.09
1.75 13.96 0.97 0.77 1.18 0.07
1.76 13.98 0.98 0.77 1.23 0.05
1.77 14.00 0.99 0.77 1.28 0.03
1.78 14.02 1.00 0.77 1.32 0.01
1.79 14.04 1.02 0.77 1.37 -0.00
1.80 14.05 1.03 0.77 1.41 -0.02
1.81 14.06 1.05 0.77 1.45 -0.04
1.82 14.07 1.06 0.77 1.49 -0.06
1.83 14.08 1.08 0.77 1.53 -0.07
1.84 14.09 1.09 0.77 1.56 -0.09
1.85 14.10 1.11 0.77 1.59 -0.11
1.86 14.11 1.12 0.76 1.62 -0.12
1.87 14.12 1.14 0.76 1.65 -0.14
1.88 14.12 1.16 0.76 1.68 -0.15
1.89 14.12 1.17 0.76 1.70 -0.17
1.90 14.12 1.19 0.76 1.72 -0.18
1.91 14.11 1.21 0.76 1.74 -0.20
1.92 14.10 1.22 0.75 1.75 -0.21
1.93 14.08 1.24 0.75 1.76 -0.23
1.94 14.05 1.26 0.75 1.77 -0.24
1.95 14.02 1.28 0.75 1.78 -0.25
1.96 13.99 1.30 0.74 1.78 -0.27
1.97 13.95 1.31 0.74 1.78 -0.28
1.98 13.92 1.33 0.74 1.77 -0.29
1.99 13.89 1.35 0.74 1.77 -0.30
2.00 13.86 1.37 0.73 1.75 -0.31
2.01 13.84 1.38 0.73 1.74 -0.32
2.02 13.82 1.40 0.73 1.72 -0.33
2.03 13.81 1.42 0.72 1.70 -0.34
2.04 13.80 1.43 0.72 1.68 -0.35
2.05 13.79 1.45 0.72 1.66 -0.36
2.06 13.78 1.47 0.71 1.63 -0.37
2.07 13.77 1.48 0.71 1.60 -0.38
2.08 13.76 1.50 0.70 1.56 -0.39
2.09 13.74 1.52 0.70 1.52 -0.40
2.10 13.72 1.53 0.70 1.48 -0.40
2.11 13.69 1.55 0.69 1.44 -0.41
2.12 13.65 1.56 0.69 1.39 -0.42
2.13 13.62 1.57 0.68 1.35 -0.42
2.14 13.58 1.59 0.68 1.29 -0.43
2.15 13.54 1.60 0.68 1.24 -0.44
2.16 13.50 1.61 0.67 1.18 -0.44
2.17 13.46 1.62 0.67 1.12 -0.45
2.18 13.43 1.63 0.66 1.06 -0.45
2.19 13.41 1.64 0.66 0.99 -0.45
2.20 13.39 1.65 0.65 0.93 -0.46
2.21 13.38 1.66 0.65 0.86 -0.46
2.22 13.37 1.67 0.64 0.79 -0.46
2.23 13.37 1.68 0.64 0.72 -0.47
2.24 13.37 1.68 0.63 0.64 -0.47
2.25 13.38 1.69 0.63 0.56 -0.47
2.26 13.38 1.70 0.63 0.49 -0.47
2.27 13.38 1.70 0.62 0.41 -0.47
2.28 13.39 1.70 0.62 0.33 -0.48
2.29 13.39 1.71 0.61 0.25 -0.48
2.30 13.39 1.71 0.61 0.17 -0.48
2.31 13.39 1.71 0.60 0.08 -0.48
2.32 13.38 1.71 0.60 0.00 -0.48
2.33 13.38 1.71 0.59 -0.08 -0.48
2.34 13.37 1.71 0.59 -0.17 -0.48
2.35 13.37 1.71 0.58 -0.25 -0.48
2.36 13.36 1.70 0.58 -0.34 -0.48
2.37 13.35 1.70 0.57 -0.42 -0.48
2.38 13.33 1.70 0.57 -0.51 -0.48
2.39 13.32 1.69 0.56 -0.60 -0.48
2.40 13.30 1.68 0.56 -0.68 -0.48
2.41 13.28 1.68 0.55 -0.77 -0.48
2.42 13.25 1.67 0.55 -0.85 -0.47
2.43 13.23 1.66 0.54 -0.94 -0.47
2.44 13.22 1.65 0.54 -1.02 -0.47
2.45 13.21 1.64 0.53 -1.11 -0.47
2.46 13.20 1.63 0.53 -1.19 -0.47
2.47 13.21 1.62 0.53 -1.27 -0.47
2.48 13.23 1.60 0.52 -1.35 -0.47
2.49 13.27 1.59 0.52 -1.43 -0.47
2.50 13.32 1.57 0.51 -1.51 -0.47
2.51 13.39 1.56 0.51 -1.59 -0.46
2.52 13.47 1.54 0.50 -1.66 -0.46
2.53 13.55 1.52 0.50 -1.73 -0.46
2.54 13.64 1.51 0.49 -1.80 -0.46
2.55 13.73 1.49 0.49 -1.86 -0.46
2.56 13.82 1.47 0.48 -1.92 -0.46
2.57 13.89 1.45 0.48 -1.98 -0.46
2.58 13.95 1.43 0.47 -2.04 -0.46
2.59 13.99 1.41 0.47 -2.09 -0.46
2.60 14.02 1.39 0.47 -2.15 -0.46
2.61 14.02 1.37 0.46 -2.19 -0.46
2.62 14.00 1.34 0.46 -2.24 -0.46
2.63 13.97 1.32 0.45 -2.28 -0.46
2.64 13.93 1.30 0.45 -2.33 -0.46
2.65 13.88 1.28 0.44 -2.36 -0.46
2.66 13.83 1.25 0.44 -2.40 -0.46
2.67 13.79 1.23 0.43 -2.44 -0.46
2.68 13.75 1.20 0.43 -2.47 -0.46
2.69 13.72 1.18 0.42 -2.50 -0.46
2.70 13.70 1.15 0.42 -2.53 -0.46
2.71 13.69 1.13 0.42 -2.55 -0.46
2.72 13.70 1.10 0.41 -2.57 -0.46
2.73 13.71 1.08 0.41 -2.59 -0.46
2.74 13.73 1.05 0.40 -2.61 -0.46
2.75 13.75 1.02 0.40 -2.62 -0.47
2.76 13.78 1.00 0.39 -2.63 -0.47
2.77 13.79 0.97 0.39 -2.64 -0.47
2.78 13.81 0.94 0.38 -2.64 -0.47
2.79 13.81 0.92 0.38 -2.64 -0.48
2.80 13.81 0.89 0.37 -2.64 -0.48
2.81 13.80 0.87 0.37 -2.63 -0.48
2.82 13.79 0.84 0.36 -2.62 -0.48
2.83 13.77 0.81 0.36 -2.61 -0.49
2.84 13.75 0.79 0.35 -2.60 -0.49
2.85 13.73 0.76 0.35 -2.58 -0.50
2.86 13.72 0.74 0.34 -2.56 -0.50
2.87 13.71 0.71 0.34 -2.54 -0.50
2.88 13.71 0.68 0.33 -2.51 -0.51
2.89 13.72 0.66 0.33 -2.48 -0.51
2.90 13.74 0.63 0.32 -2.45 -0.52
2.91 13.77 0.61 0.32 -2.42 -0.52
2.92 13.79 0.59 0.31 -2.38 -0.53
2.93 13.83 0.56 0.31 -2.34 -0.53
2.94 13.87 0.54 0.30 -2.30 -0.53
2.95 13.91 0.52 0.30 -2.25 -0.54
2.96 13.95 0.49 0.29 -2.20 -0.55
2.97 13.99 0.47 0.29 -2.15 -0.55
2.98 14.03 0.45 0.28 -2.10 -0.56
2.99 14.07 0.43 0.28 -2.04 -0.56
3.00 14.10 0.41 0.27 -1.98 -0.57
3.01 14.14 0.39 0.26 -1.92 -0.57
3.02 14.17 0.37 0.26 -1.86 -0.58
3.03 14.20 0.35 0.25 -1.79 -0.58
3.04 14.22 0.34 0.25 -1.72 -0.59
3.05 14.24 0.32 0.24 -1.66 -0.59
3.06 14.26 0.30 0.23 -1.58 -0.60
3.07 14.27 0.29 0.23 -1.51 -0.60
3.08 14.27 0.27 0.22 -1.44 -0.61
3.09 14.26 0.26 0.22 -1.36 -0.62
3.10 14.24 0.25 0.21 -1.29 -0.62
3.11 14.21 0.23 0.20 -1.21 -0.63
3.12 14.18 0.22 0.20 -1.14 -0.63
3.13 14.15 0.21 0.19 -1.06 -0.64
3.14 14.11 0.20 0.18 -0.98 -0.64
3.15 14.07 0.19 0.18 -0.90 -0.65
3.16 14.04 0.18 0.17 -0.83 -0.65
3.17 14.01 0.17 0.17 -0.75 -0.66
3.18 13.99 0.17 0.16 -0.67 -0.66
3.19 13.98 0.16 0.15 -0.60 -0.66
3.20 13.98 0.16 0.15 -0.52 -0.67
3.21 13.99 0.15 0.14 -0.44 -0.67
3.22 14.02 0.15 0.13 -0.37 -0.67
3.23 14.05 0.14 0.13 -0.29 -0.68
3.24 14.08 0.14 0.12 -0.21 -0.68
3.25 14.12 0.14 0.11 -0.14 -0.68
3.26 14.15 0.14 0.10 -0.06 -0.69
3.27 14.17 0.14 0.10 0.01 -0.69
3.28 14.19 0.14 0.09 0.08 -0.69
3.29 14.19 0.14 0.08 0.16 -0.69
3.30 14.18 0.14 0.08 0.23 -0.69
3.31 14.16 0.14 0.07 0.30 -0.69
3.32 14.13 0.15 0.06 0.37 -0.69
3.33 14.09 0.15 0.06 0.43 -0.69
3.34 14.04 0.16 0.05 0.50 -0.69
3.35 13.99 0.16 0.04 0.56 -0.69
3.36 13.95 0.17 0.04 0.62 -0.69
3.37 13.92 0.17 0.03 0.68 -0.69
3.38 13.89 0.18 0.02 0.73 -0.69
3.39 13.87 0.19 0.01 0.79 -0.69
3.40 13.87 0.20 0.01 0.84 -0.69
3.41 13.88 0.21 0.00 0.89 -0.68
3.42 13.90 0.21 -0.01 0.93 -0.68
3.43 13.92 0.22 -0.01 0.98 -0.68
3.44 13.96 0.23 -0.02 1.02 -0.67
3.45 14.00 0.24 -0.03 1.06 -0.67
3.46 14.03 0.25 -0.03 1.10 -0.66
3.47 14.07 0.27 -0.04 1.14 -0.66
3.48 14.10 0.28 -0.05 1.17 -0.65
3.49 14.12 0.29 -0.05 1.21 -0.65
3.50 14.12 0.30 -0.06 1.24 -0.64
3.51 14.12 0.31 -0.06 1.26 -0.63
3.52 14.11 0.33 -0.07 1.29 -0.62
3.53 14.09 0.34 -0.08 1.31 -0.62
3.54 14.06 0.35 -0.08 1.33 -0.61
3.55 14.02 0.37 -0.09 1.34 -0.60
3.56 13.98 0.38 -0.10 1.36 -0.59
3.57 13.93 0.39 -0.10 1.37 -0.58
3.58 13.88 0.41 -0.11 1.37 -0.57
3.59 13.84 0.42 -0.11 1.38 -0.56
3.60 13.80 0.43 -0.12 1.38 -0.55
3.61 13.77 0.45 -0.12 1.37 -0.53
3.62 13.75 0.46 -0.13 1.37 -0.52
3.63 13.74 0.48 -0.13 1.36 -0.51
3.64 13.74 0.49 -0.14 1.35 -0.50
3.65 13.76 0.50 -0.14 1.33 -0.48
3.66 13.78 0.52 -0.15 1.31 -0.47
3.67 13.82 0.53 -0.15 1.30 -0.46
3.68 13.87 0.54 -0.16 1.28 -0.44
3.69 13.93 0.55 -0.16 1.25 -0.43
3.70 14.00 0.57 -0.17 1.23 -0.41
3.71 14.07 0.58 -0.17 1.21 -0.40
3.72 14.14 0.59 -0.17 1.18 -0.38
3.73 14.21 0.60 -0.18 1.15 -0.36
3.74 14.27 0.61 -0.18 1.12 -0.35
3.75 14.32 0.63 -0.18 1.09 -0.33
3.76 14.37 0.64 -0.19 1.06 -0.31
3.77 14.40 0.65 -0.19 1.02 -0.30
3.78 14.42 0.66 -0.19 0.99 -0.28
3.79 14.43 0.67 -0.20 0.95 -0.26
3.80 14.42 0.68 -0.20 0.91 -0.24
3.81 14.40 0.68 -0.20 0.87 -0.22
3.82 14.37 0.69 -0.20 0.83 -0.20
3.83 14.34 0.70 -0.21 0.79 -0.19
3.84 14.29 0.71 -0.21 0.74 -0.17
3.85 14.25 0.72 -0.21 0.70 -0.15
3.86 14.20 0.72 -0.21 0.65 -0.13
3.87 14.16 0.73 -0.21 0.60 -0.11
3.88 14.11 0.73 -0.21 0.55 -0.09
3.89 14.07 0.74 -0.21 0.49 -0.07
3.90 14.04 0.74 -0.21 0.44 -0.05
3.91 14.00 0.75 -0.21 0.38 -0.03
3.92 13.97 0.75 -0.21 0.33 -0.01
3.93 13.94 0.76 -0.21 0.27 0.01
3.94 13.91 0.76 -0.21 0.21 0.03
3.95 13.89 0.76 -0.21 0.15 0.05
3.96 13.87 0.76 -0.21 0.09 0.07
3.97 13.85 0.76 -0.21 0.03 0.09
3.98 13.83 0.76 -0.21 -0.02 0.11
3.99 13.82 0.76 -0.21 -0.08 0.13
4.00 13.82 0.76 -0.21 -0.14 0.15
4.01 13.82 0.76 -0.21 -0.20 0.17
4.02 13.83 0.76 -0.21 -0.26 0.19
4.03 13.85 0.75 -0.20 -0.31 0.21
4.04 13.87 0.75 -0.20 -0.37 0.23
4.05 13.89 0.75 -0.20 -0.43 0.25
4.06 13.92 0.74 -0.20 -0.48 0.27
4.07 13.94 0.74 -0.19 -0.53 0.29
4.08 13.97 0.73 -0.19 -0.58 0.30
4.09 13.99 0.72 -0.19 -0.63 0.32
4.10 13.99 0.72 -0.18 -0.68 0.34
4.11 13.99 0.71 -0.18 -0.73 0.36
4.12 13.98 0.70 -0.18 -0.77 0.38
4.13 13.96 0.70 -0.17 -0.81 0.39
4.14 13.93 0.69 -0.17 -0.86 0.41
4.15 13.88 0.68 -0.16 -0.90 0.43
4.16 13.83 0.67 -0.16 -0.94 0.45
4.17 13.78 0.66 -0.16 -0.97 0.46
4.18 13.72 0.65 -0.15 -1.01 0.48
4.19 13.67 0.64 -0.15 -1.04 0.49
4.20 13.61 0.63 -0.14 -1.08 0.51
4.21 13.57 0.62 -0.14 -1.11 0.52
4.22 13.53 0.61 -0.13 -1.14 0.54
4.23 13.50 0.59 -0.13 -1.17 0.55
4.24 13.47 0.58 -0.12 -1.19 0.57
4.25 13.46 0.57 -0.11 -1.22 0.58
4.26 13.45 0.56 -0.11 -1.24 0.59
4.27 13.45 0.55 -0.10 -1.26 0.60
4.28 13.46 0.53 -0.10 -1.27 0.62
4.29 13.46 0.52 -0.09 -1.29 0.63
4.30 13.47 0.51 -0.08 -1.30 0.64
4.31 13.48 0.49 -0.08 -1.31 0.65
4.32 13.49 0.48 -0.07 -1.31 0.66
4.33 13.51 0.47 -0.06 -1.31 0.67
4.34 13.52 0.46 -0.06 -1.31 0.68
4.35 13.53 0.44 -0.05 -1.31 0.69
4.36 13.54 0.43 -0.04 -1.30 0.69
4.37 13.54 0.42 -0.04 -1.29 0.70
4.38 13.54 0.40 -0.03 -1.28 0.71
4.39 13.54 0.39 -0.02 -1.27 0.72
4.40 13.53 0.38 -0.02 -1.25 0.72
4.41 13.51 0.37 -0.01 -1.23 0.73
4.42 13.48 0.35 -0.00 -1.21 0.73
4.43 13.44 0.34 0.01 -1.18 0.74
4.44 13.39 0.33 0.01 -1.15 0.74
4.45 13.33 0.32 0.02 -1.12 0.75
4.46 13.26 0.31 0.03 -1.09 0.75
4.47 13.18 0.30 0.04 -1.06 0.75
4.48 13.10 0.29 0.04 -1.03 0.75
4.49 13.02 0.28 0.05 -0.99 0.76
4.50 12.94 0.27 0.06 -0.95 0.76
4.51 12.87 0.26 0.07 -0.91 0.76
4.52 12.82 0.25 0.07 -0.87 0.76
4.53 12.78 0.24 0.08 -0.83 0.76
4.54 12.76 0.23 0.09 -0.78 0.76
4.55 12.77 0.22 0.10 -0.74 0.76
4.56 12.79 0.22 0.10 -0.69 0.76
4.57 12.84 0.21 0.11 -0.64 0.76
4.58 12.90 0.20 0.12 -0.58 0.75
4.59 12.98 0.20 0.13 -0.53 0.75
4.60 13.07 0.19 0.13 -0.47 0.75
4.61 13.15 0.19 0.14 -0.41 0.75
4.62 13.24 0.19 0.15 -0.34 0.74
4.63 13.32 0.18 0.16 -0.28 0.74
4.64 13.38 0.18 0.16 -0.21 0.73
4.65 13.43 0.18 0.17 -0.14 0.73
4.66 13.46 0.18 0.18 -0.07 0.72
4.67 13.46 0.18 0.19 0.01 0.72
4.68 13.46 0.18 0.19 0.08 0.71
4.69 13.43 0.18 0.20 0.16 0.71
4.70 13.39 0.18 0.21 0.23 0.70
4.71 13.34 0.18 0.21 0.31 0.69
4.72 13.28 0.19 0.22 0.38 0.69
4.73 13.22 0.19 0.23 0.46 0.68
4.74 13.17 0.20 0.23 0.53 0.67
4.75 13.12 0.20 0.24 0.61 0.67
4.76 13.08 0.21 0.25 0.68 0.66
4.77 13.06 0.22 0.25 0.75 0.65
4.78 13.05 0.22 0.26 0.83 0.64
4.79 13.05 0.23 0.27 0.90 0.64
4.80 13.06 0.24 0.27 0.97 0.63
4.81 13.09 0.25 0.28 1.05 0.62
4.82 13.13 0.26 0.29 1.12 0.61
4.83 13.17 0.27 0.29 1.19 0.60
4.84 13.22 0.29 0.30 1.26 0.59
4.85 13.26 0.30 0.30 1.33 0.59
4.86 13.31 0.31 0.31 1.40 0.58
4.87 13.35 0.33 0.32 1.47 0.57
4.88 13.38 0.34 0.32 1.54 0.56
4.89 13.40 0.36 0.33 1.61 0.55
4.90 13.40 0.37 0.33 1.67 0.54
4.91 13.40 0.39 0.34 1.74 0.53
4.92 13.38 0.41 0.34 1.80 0.53
4.93 13.36 0.43 0.35 1.86 0.52
4.94 13.32 0.45 0.35 1.92 0.51
4.95 13.28 0.47 0.36 1.98 0.50
4.96 13.24 0.49 0.36 2.03 0.49
4.97 13.20 0.51 0.37 2.08 0.48
4.98 13.16 0.53 0.37 2.13 0.47
4.99 13.13 0.55 0.38 2.18 0.47
5.00 13.12 0.57 0.38 2.22 0.46
5.01 13.11 0.59 0.39 2.26 0.45
5.02 13.12 0.62 0.39 2.30 0.44
5.03 13.14 0.64 0.40 2.33 0.44
5.04 13.18 0.66 0.40 2.37 0.43
5.05 13.23 0.69 0.40 2.40 0.42
5.06 13.29 0.71 0.41 2.43 0.41
5.07 13.35 0.73 0.41 2.45 0.41
5.08 13.41 0.76 0.42 2.48 0.40
5.09 13.47 0.78 0.42 2.50 0.39
5.10 13.52 0.81 0.42 2.52 0.39
5.11 13.56 0.83 0.43 2.54 0.38
5.12 13.59 0.86 0.43 2.55 0.38
5.13 13.61 0.89 0.44 2.56 0.37
5.14 13.62 0.91 0.44 2.57 0.36
5.15 13.61 0.94 0.44 2.58 0.36
5.16 13.60 0.96 0.45 2.58 0.35
5.17 13.58 0.99 0.45 2.58 0.35
5.18 13.56 1.01 0.45 2.58 0.35
5.19 13.54 1.04 0.46 2.57 0.34
5.20 13.52 1.07 0.46 2.56 0.34
5.21 13.51 1.09 0.46 2.55 0.33
5.22 13.51 1.12 0.47 2.53 0.33
5.23 13.51 1.14 0.47 2.51 0.33
5.24 13.51 1.17 0.47 2.49 0.32
5.25 13.52 1.19 0.48 2.46 0.32
5.26 13.53 1.22 0.48 2.43 0.32
5.27 13.53 1.24 0.48 2.40 0.31
5.28 13.53 1.26 0.49 2.36 0.31
5.29 13.52 1.29 0.49 2.33 0.31
5.30 13.50 1.31 0.49 2.29 0.31
5.31 13.47 1.33 0.50 2.24 0.31
5.32 13.44 1.36 0.50 2.20 0.30
5.33 13.40 1.38 0.50 2.15 0.30
5.34 13.36 1.40 0.51 2.09 0.30
5.35 13.33 1.42 0.51 2.04 0.30
5.36 13.29 1.44 0.51 1.98 0.30
5.37 13.27 1.46 0.51 1.92 0.30
5.38 13.26 1.48 0.52 1.86 0.30
5.39 13.26 1.50 0.52 1.79 0.30
5.40 13.27 1.51 0.52 1.73 0.30
5.41 13.29 1.53 0.53 1.66 0.30
5.42 13.33 1.55 0.53 1.59 0.30
5.43 13.37 1.56 0.53 1.52 0.30
